observation_ID,A,B,C,D,E,F
1130360104_0,7466.0,0.6778600403973505,2.5884400000000003,92.6776,0.2,11147200.0
1130360104_1,7548.0,0.6782194581434586,2.59681,94.7004,0.2,10554100.0
1130360105_0,7603.0,0.6803193502343119,2.62078,98.1809,0.2,9288180.0
1130360105_1,7684.0,0.6803443928804762,2.62659,99.9817,0.2,8756560.0
1130360105_2,7354.0,0.6790601386512062,2.5988,92.4078,0.2,10616000.0
1130360105_3,7524.0,0.679909455200365,2.61502,96.4504,0.2,9710270.0
1130360106_0,7630.0,0.6836423521946272,2.66031,103.308,0.2,7079890.0
1130360106_1,7650.0,0.6826098743202055,2.65002,102.335,0.2,7583570.0
1130360107_0,6488.0,0.6795752475635695,2.56683,78.1277,0.2,12464300.0
1130360107_11,6305.0,0.67938905639353,2.55555,74.8334,0.2,12961500.0
1130360107_12,6379.0,0.678674291496759,2.55697,75.8668,0.2,12897500.0
1130360107_13,6293.0,0.6793741346252763,2.5548900000000003,74.6291,0.2,12956400.0
1130360107_14,6368.0,0.6794267047675484,2.5585,75.8744,0.2,12839500.0
1130360107_15,6880.0,0.6825181489917302,2.61587,88.0569,0.2,10019000.0
1130360107_6,6412.0,0.6777166011030145,2.55158,75.8518,0.2,12701200.0
1130360107_7,6389.0,0.6771178438183499,2.5411900000000003,74.6386,0.2,13103000.0
1130360108_2,6930.0,0.686001458020021,2.64642,91.9099,0.2,8978510.0
1130360109_2,7691.0,0.6977075907964945,2.8008900000000003,122.593,0.2,0.1
1130360109_5,7687.0,0.6901303812976349,2.7406200000000003,114.5,0.2,2264470.0
1130360110_0,7030.0,0.6930451189254611,2.71509,101.075,0.2,5931830.0
1130360110_1,6756.0,0.689022555231236,2.66234,91.1747,0.2,8716210.0
1130360110_3,7273.0,0.6998148783426179,2.78823,113.878,0.2,2214350.0
1130360110_6,7476.0,0.7019658846553678,2.82235,121.864,0.2,0.1
1130360111_0,7411.0,0.6998563224447111,2.80593,118.592,0.2,656989.0
1130360111_2,7356.0,0.7016336127551078,2.81789,119.271,0.2,311951.0
1130360111_3,7268.0,0.705051793328914,2.83666,120.245,0.2,0.1
1130360113_0,6368.0,0.7053233944640787,2.77446,97.2741,0.2,6392090.0
1130360113_1,5762.0,0.697436097260619,2.66929,77.5933,0.2,11129200.0
1130360130_4,1226.0,0.8723597097027675,3.647580000000001,8.03925,0.468727,59766.8
1130360130_5,1228.0,0.8727914283354736,3.647580000000001,8.57713,0.461662,63393.6
1130360130_6,1210.0,0.8743123720647655,3.647580000000001,0.921879,0.645633,12448.0
1130360130_8,1209.0,0.8746756325420411,3.647580000000001,0.000226494,0.769282,6293.19
1130360130_9,1212.0,0.874522022124584,3.647580000000001,7.80675,0.468689,60354.7
1130360131_0,1205.0,0.8757577071280142,3.647580000000001,0.0601128,0.8631030000000001,3710.61
1130360131_1,1200.0,0.8747643177722532,3.647580000000001,8.016610000000001e-06,0.732,8037.85
1130360131_2,1207.0,0.8749527268052397,3.647580000000001,6.85611,0.486372,50430.6
1130360131_3,1208.0,0.8749805275779025,3.647580000000001,0.203316,0.892932,3114.2
1130360131_4,1199.0,0.875970195392171,3.647580000000001,0.341892,0.918398,2406.33
1130360131_5,1202.0,0.8752987852794677,3.647580000000001,0.0163803,0.8284219999999999,4459.51
1130360131_6,1200.0,0.8748806594074414,3.647580000000001,0.00935658,0.8229780000000001,4579.32
1130360131_7,1212.0,0.8748030578230699,3.647580000000001,1.18729e-05,0.748275,7265.52
1130360131_8,1209.0,0.8743417530025762,3.647580000000001,7.76723,0.469645,59356.8
1130360132_0,1211.0,0.8741117351035751,3.647580000000001,9.96343,0.501893,22827.0
1130360132_1,1208.0,0.874555072960403,3.647580000000001,0.000192082,0.770228,6290.19
1130360132_2,1203.0,0.8760759471830071,3.647580000000001,7.61591,0.4703279999999999,59324.6
1130360133_0,1199.0,0.8745176882041792,3.647580000000001,8.24945,0.460818,63985.9
1130360134_0,1179.0,0.8765020547665073,3.647580000000001,0.705964,0.952266,1638.85
1130360135_1,1185.0,0.875490091429989,3.647580000000001,9.73536,0.49862,23371.3
1130360137_0,1021.0,0.8852434670931612,3.647580000000001,5.07423,0.4848659999999999,50570.9
1130360138_0,540.0,0.9219856509921142,3.647580000000001,3.04833,0.424307,69356.9
1130360138_1,543.4,0.9208694142374684,3.647580000000001,3.07588,0.423109,71177.4
1130360143_1,272.0,0.9530107942598318,3.647580000000001,1.27151,0.39103,74042.7
1130360144_4,266.9,0.9498999518272732,3.647580000000001,1.44408,0.38276,80513.6
1130360144_5,266.7,0.9471801479076257,3.647580000000001,1.44116,0.383251,79444.8
1130360145_0,267.8,0.9469600708153371,3.647580000000001,1.4259700000000002,0.383642,79488.7
1130360145_2,258.5,0.9502414876268473,3.647580000000001,1.31689,0.384513,77020.4
1130360145_3,255.0,0.9522783552510331,3.647580000000001,1.1712,0.390728,70139.2
1130360145_4,257.7,0.949652198241022,3.647580000000001,1.39856,0.380284,81563.8
1130360146_0,254.2,0.950292924003491,3.647580000000001,1.27801,0.383156,78304.9
1130360146_1,254.7,0.949604377754207,3.647580000000001,1.50201,0.373568,89174.8
1130360146_10,243.5,0.9546730436219258,3.647580000000001,1.09414,0.389824,68888.5
1130360146_4,247.8,0.9499026132861275,3.647580000000001,1.2958,0.379338,81302.8
1130360146_6,247.2,0.9536640503426614,3.647580000000001,1.14957,0.3891969999999999,69652.4
1130360146_7,246.0,0.95510030959657,3.647580000000001,1.18171,0.381769,79756.0
1130360146_8,248.3,0.9510211456732582,3.647580000000001,1.1974,0.384877,75178.5
1130360146_9,244.7,0.9566523829660811,3.647580000000001,1.08373,0.389308,70535.6
1130360147_2,227.2,0.9571308287974997,3.647580000000001,1.08875,0.37555,83699.5
1130360152_0,93.5,0.978531124099032,3.647580000000001,0.336065,0.33574,90102.2
1130360152_1,91.98,0.9771143545760579,3.647580000000001,0.344586,0.336276,86684.0
1130360153_0,91.94,0.9780273053155791,3.647580000000001,0.3402489999999999,0.335828,87754.6
1130360155_0,69.38,0.9820160486988805,3.647580000000001,0.246417,0.320929,95150.0
1130360155_1,68.48,0.9840841282438557,3.647580000000001,0.210682,0.322831,92128.1
1130360156_0,62.33,0.983436440448397,3.647580000000001,0.218243,0.314703,99825.8
1130360156_1,61.26,0.9841109707098704,3.647580000000001,0.200958,0.315083,98355.0
1130360156_3,57.1,0.9853985983021364,3.647580000000001,0.182469,0.312817,97432.9
1130360156_5,57.12,0.9853377461484036,3.647580000000001,0.184222,0.312113,99023.4
1130360156_6,56.5,0.9857912148296156,3.647580000000001,0.173242,0.312728,97252.2
1130360157_0,52.3,0.9865463234359628,3.647580000000001,0.163015,0.306787,104134.0
1130360157_2,50.07,0.9882166135696153,3.647580000000001,0.140626,0.306928,101001.0
1130360157_3,48.72,0.9869449080296732,3.647580000000001,0.18052,0.299213,114906.0
1130360157_4,48.88,0.9888615417013769,3.647580000000001,0.152587,0.303237,106939.0
1130360157_5,48.01,0.9877351887440038,3.647580000000001,0.152493,0.3044409999999999,101391.0
1130360158_2,30.81,0.9940137043571345,3.647580000000001,0.0916088,0.279708,128005.0
1130360158_3,29.35,0.9837803446952358,3.647580000000001,0.155995,0.271403,141693.0
1130360160_0,22.0,0.9916312091652827,3.647580000000001,0.0681081,0.265927,133986.0
1130360160_1,21.22,0.9853168695996035,3.647580000000001,0.111171,0.256865,159804.0
1130360160_2,21.56,0.9854105453177582,3.647580000000001,0.088652,0.257414,161733.0
1130360161_0,10.55,0.9895327708773248,3.647580000000001,0.0388523,0.235688,163327.0
1130360181_0,81.65,0.9743600088582146,3.647580000000001,0.418664,0.322949,96998.7
1130360181_2,78.8,0.9920178534930719,3.647580000000001,0.278497,0.337914,74666.3
1130360181_3,84.07,0.9774593672066871,3.647580000000001,0.380089,0.328359,91442.4
1130360181_5,85.16,0.9747635224263119,3.647580000000001,0.378787,0.331075,86813.1
1130360181_6,86.42,0.9790934744923737,3.647580000000001,0.351706,0.333431,85410.6
1130360182_0,85.56,0.980456985260071,3.647580000000001,0.380583,0.330881,88294.3
1130360182_1,87.6,0.9712992979097991,3.647580000000001,0.472427,0.322604,103206.0
1130360182_2,85.14,0.9804106206410099,3.647580000000001,0.3413239999999999,0.333866,83781.9
1130360182_3,87.1,0.9753178319668203,3.647580000000001,0.393933,0.329003,92779.4
1130360182_4,88.2,0.9742140473651185,3.647580000000001,0.43128,0.3279289999999999,94364.9
1130360182_9,85.58,0.9860111901221196,3.647580000000001,0.318325,0.336782,81537.5
1130360183_0,90.16,0.9739401390061609,3.647580000000001,0.455679,0.324732,102967.0
1130360183_1,90.06,0.9734227214360414,3.647580000000001,7.87085e-09,1.55637,16.0558
1130360183_2,91.25,0.9730061250330572,3.647580000000001,0.470489,0.326949,98164.9
1130360183_3,92.58,0.9645826490813176,3.647580000000001,0.7148720000000001,0.316582,114814.0
1130360183_4,90.16,0.9625755672327636,3.647580000000001,0.60001,0.319484,105492.0
1130360183_6,91.86,0.9631019530619773,3.647580000000001,0.656795,0.311203,128938.0
1130360183_7,90.85,0.969704855892983,3.647580000000001,0.49651,0.3239,103131.0
1130360183_8,91.54,0.9634340806979821,3.647580000000001,0.576753,0.320409,106719.0
1130360184_0,75.45,0.9617049781550805,3.647580000000001,0.620159,0.297354,143957.0
1130360184_10,68.17,0.947817359799744,3.647580000000001,0.733771,0.287957,143250.0
1130360184_11,75.98,0.9533069896256715,3.647580000000001,0.7337020000000001,0.294837,140918.0
1130360184_12,72.95,0.9559325105997878,3.647580000000001,0.673564,0.294943,138902.0
1130360184_13,74.48,0.9510379777081663,3.647580000000001,0.799773,0.286196,165030.0
1130360184_14,73.93,0.949719516286504,3.647580000000001,0.777768,0.293337,138649.0
1130360184_15,75.3,0.947262611095302,3.647580000000001,0.822642,0.2888969999999999,154877.0
1130360184_16,73.9,0.9414268383350208,3.647580000000001,0.958444,0.2782159999999999,183895.0
1130360184_17,71.13,0.9498167652409546,3.647580000000001,0.773507,0.2846849999999999,163199.0
1130360184_3,74.53,0.960409085455475,3.647580000000001,0.6132029999999999,0.30059,129942.0
1130360184_4,74.98,0.9568655123638561,3.647580000000001,0.758948,0.294471,143518.0
1130360184_7,75.41,0.9582309107923149,3.647580000000001,0.6634369999999999,0.296991,140118.0
1130360184_9,74.74,0.9563029019660858,3.647580000000001,0.734483,0.294239,144452.0
1130360185_0,70.62,0.945349951555641,3.647580000000001,0.883856,0.280548,171428.0
1130360185_1,72.4,0.9253533651016336,3.647580000000001,1.2314,0.252108,304405.0
1130360185_2,70.08,0.9065475165405815,3.4020900000000003,1.01304,0.2505219999999999,300343.0
1130360186_0,32.08,0.7943144235041799,2.45575,0.257092,0.2,574220.0
1130360186_1,34.3,0.793716914648109,2.41834,0.262293,0.2,618150.0
1130360187_0,32.85,0.7951606799888156,2.41344,0.248981,0.2,596322.0
1130360188_0,15.47,0.6794331080054709,1.9624,0.0778703999999999,0.2,176117.0
1130360199_1,9.549,0.5602841868273327,1.68074,0.0358535,0.252003,9362.12
1130360199_2,15.57,0.6109099717717346,1.92351,0.0831431,0.2,112655.0
1130360201_0,29.08,0.675222425322209,2.05081,0.169577,0.2,275715.0
1130360202_0,33.09,0.7023373076859772,2.12127,0.203314,0.2,374365.0
1130360203_0,48.06,0.7423636384690486,2.23005,0.321211,0.2,662653.0
1130360203_1,49.25,0.7454999162667493,2.25255,0.339576,0.2,694970.0
1130360203_2,49.6,0.7462087951113355,2.27052,0.348066,0.200007,689287.0
1130360204_0,84.94,0.8929498359452939,3.19491,0.949955,0.27398,184359.0
1130360205_0,70.76,0.9211507119413708,3.64713,1.15933,0.2600679999999999,232358.0
1130360205_1,70.65,0.9200876291643323,3.647580000000001,1.2827,0.248544,306092.0
1130360205_2,70.49,0.923596255107272,3.647580000000001,1.13351,0.260019,238926.0
1130360206_0,60.37,0.8899754751319369,2.86488,0.4910819999999999,0.26563,191802.0
1130360206_1,59.2,0.8836756154878027,3.11437,0.757999,0.233679,417835.0
1130360207_0,32.04,0.7790083065836186,2.40496,0.2477079999999999,0.2,557028.0
1130360207_1,32.21,0.7791487373043479,2.36845,0.240919,0.2,553873.0
1130360208_0,23.93,0.7333392678983964,2.17277,0.148646,0.2,336034.0
1130360209_0,17.76,0.6922579861567012,2.04914,0.100739,0.2,208176.0
1130360226_3,10.1,0.5603202683735904,1.63274,0.0346017,0.2767199999999999,5174.09
1130360226_4,10.23,0.5647101944828243,1.67091,0.0393971,0.200552,53149.2
1130360226_5,9.849,0.571015198124018,1.90529,0.0545943999999999,0.2,63598.8
1130360226_6,10.79,0.5831281378124532,1.7879900000000002,0.0487077,0.2,55449.2
1130360227_0,12.77,0.5802930888488933,1.7769700000000002,0.0568621999999999,0.201031,59201.6
1130360227_1,16.52,0.6112238448808348,1.87186,0.0831737,0.200003,109408.0
1130360228_1,28.88,0.7071209977981874,2.171,0.189805,0.2,324163.0
1130360228_4,33.81,0.7402305571029569,2.31146,0.253933,0.2,429467.0
1130360229_1,36.68,0.7531137057333458,2.34931,0.283572,0.2,493298.0
1130360229_2,36.52,0.747209263404067,2.2916,0.2635429999999999,0.200001,494562.0
1130360230_0,38.62,0.7656954522257957,2.36636,0.2978179999999999,0.2,563884.0
1130360230_2,40.01,0.7716806138203495,2.4206,0.32814,0.2,617730.0
1130360231_0,39.8,0.7644530252509886,2.36283,0.304723,0.2,586088.0
1130360231_1,35.68,0.7556151616394574,2.33767,0.273307,0.2,540815.0
1130360231_2,36.69,0.7544371690279825,2.34055,0.277737,0.2,536234.0
1130360231_3,35.47,0.7531679737917154,2.31986,0.263322,0.2,521523.0
1130360232_0,32.13,0.723903387348893,2.18806,0.207867,0.2,413577.0
1130360232_2,31.16,0.7281830961985051,2.21297,0.208704,0.2,402552.0
1130360248_0,6.4910000000000005,0.5520812442708136,1.8657,0.0345033,0.20048,18278.5
